Data,Descrição,Valor
01/03/2026,IFOOD *RESTAURANTE JAPONES,45.90
02/03/2026,UBER *TRIP,23.50
03/03/2026,SUPERMERCADO CARREFOUR,387.42
04/03/2026,NETFLIX.COM,55.90
05/03/2026,SPOTIFY,21.90
06/03/2026,FARMACIA DROGASIL,67.80
07/03/2026,POSTO SHELL COMBUSTIVEL,250.00
08/03/2026,SMART FIT ACADEMIA,99.90
09/03/2026,AMAZON.COM.BR,189.90
10/03/2026,RESTAURANTE OUTBACK,156.00
11/03/2026,UBER *TRIP,18.70
12/03/2026,IFOOD *PIZZA HUT,62.00
13/03/2026,PAO DE ACUCAR SUPERMERCADO,234.55
14/03/2026,CLARO INTERNET FIBRA,119.90
15/03/2026,DISNEY+ STREAMING,33.90
16/03/2026,SHOPEE *CAPINHA CELULAR,29.90
17/03/2026,UDEMY CURSO PYTHON,27.90
18/03/2026,STARBUCKS CAFE,32.00
19/03/2026,99 POP CORRIDA,15.40
20/03/2026,MERCADO LIVRE *TECLADO,299.00
21/03/2026,ENEL ENERGIA ELETRICA,185.60
22/03/2026,SABESP AGUA,78.30
23/03/2026,PORTO SEGURO AUTO,312.50
24/03/2026,CINEMARK INGRESSO,52.00
25/03/2026,ALUGUEL APTO MAR/2026,1800.00
26/03/2026,CONDOMINIO MAR/2026,650.00
27/03/2026,IFOOD *MC DONALDS,38.50
28/03/2026,DROGARIA SAO PAULO,42.90
29/03/2026,UBER *TRIP,27.30
30/03/2026,SUPERMERCADO ASSAI,412.00
31/03/2026,HOTMART *CURSO INVESTIMENTOS,197.00
01/04/2026,IFOOD *BURGER KING,35.90
02/04/2026,UBER *TRIP,21.00
03/04/2026,CARREFOUR SUPERMERCADO,298.75
04/04/2026,NETFLIX.COM,55.90
05/04/2026,SPOTIFY,21.90
06/04/2026,FARMACIA DROGA RAIA,89.50
07/04/2026,SHELL COMBUSTIVEL,280.00
08/04/2026,SMART FIT ACADEMIA,99.90
09/04/2026,AMAZON.COM.BR LIVRO,65.00
10/04/2026,SUBWAY LANCHE,28.90
